Date,Time,Production,SceneName,SoldTickets,TotalAmount
"23/06/2020 ",19:00:00,Зорба,Голяма сцена,0,0.0000
"25/06/2020 ",19:00:00,Зорба,Голяма сцена,0,0.0000
"27/06/2020 ",16:00:00,Зорба,Сцена 19,0,0.0000
"23/06/2020 ",20:00:00,"Аз обичам, ти обичаш, тя обича",Голяма сцена,0,0.0000
"25/06/2020 ",21:00:00,"Аз обичам, ти обичаш, тя обича",Голяма сцена,0,0.0000
"26/06/2020 ",15:00:00,"Аз обичам, ти обичаш, тя обича",Сцена 19,0,0.0000
"27/06/2020 ",21:00:00,Килър Джо,Голяма сцена,0,0.0000
"29/06/2020 ",17:00:00,Килър Джо,Голяма сцена,0,0.0000
"22/06/2020 ",20:00:07,Пияните,Голяма сцена,0,0.0000
"23/06/2020 ",13:00:07,Пияните,Голяма сцена,0,0.0000
"25/06/2020 ",17:00:07,Пияните,Голяма сцена,0,0.0000
"22/06/2020 ",22:15:47,Сцени от един семеен живот,Голяма сцена,0,0.0000
"27/06/2020 ",22:15:47,Сцени от един семеен живот,Голяма сцена,0,0.0000
"24/06/2020 ",22:15:47,Сцени от един семеен живот,Голяма сцена,0,0.0000
"22/06/2020 ",18:00:46,Стриптийз покер,Сцена 19,0,0.0000
"23/06/2020 ",18:00:46,Стриптийз покер,Сцена 19,0,0.0000
"28/06/2020 ",13:00:46,Стриптийз покер,Сцена 19,0,0.0000
"26/06/2020 ",22:00:34,"Зимата на нашето недоволство ",Голяма сцена,2,30.0000
